title,company,location,description,posted_at,source,source_url,scraped_at
Software Developer,PT CIMB Niaga Tbk,Tangerang,"Mengerjakan dan melakukan maintenance terhadap proses development aplikasi yang kompleks, mengembangkan aplikasi/coding, dan melakukan pengujian...",2022-01-06T14:06:21Z,Jobstreet Indonesia Dataset (public snapshot),https://www.jobstreet.co.id/id/job/software-developer-3746087,2026-07-19T00:00:00Z
Business Analyst,PT Silkargo Indonesia,Jakarta Selatan,"1. Melakukan riset pasar dan mencari peluang pasar dan pelanggan baru, mengembangkan jenis layanan baru dan wilayah baru untuk pertumbuhan usaha...",2022-01-06T11:26:29Z,Jobstreet Indonesia Dataset (public snapshot),https://www.jobstreet.co.id/id/job/business-analyst-3745991,2026-07-19T00:00:00Z
Data Scientist,PT Solubis Sukses Gemilang,Jakarta Barat,"Job Description : Perform tasks such as data exploration, cleaning, and feature engineering Perform research into state-of-the-art algorithms from...",2022-01-06T10:16:48Z,Jobstreet Indonesia Dataset (public snapshot),https://www.jobstreet.co.id/id/job/data-scientist-3745876,2026-07-19T00:00:00Z
Junior / Senior Backend Developer - Tangerang,PT Bhakti Idola Tama,Tangerang,Requirements : Diploma/Bachelor/Professional Degree in Computer Science / Information 1+ (junior) / 3+ (senior) years working in front-end either...,2022-01-06T09:53:46Z,Jobstreet Indonesia Dataset (public snapshot),https://www.jobstreet.co.id/id/job/junior-senior-backend-developer-tangerang-3745830,2026-07-19T00:00:00Z
Junior / Senior Backend Developer - Jakarta,PT Bhakti Idola Tama,Jakarta Barat,Requirements : Diploma/Bachelor/Professional Degree in Computer Science / Information 1+ (junior) / 3+ (senior) years working in front-end either...,2022-01-06T09:52:26Z,Jobstreet Indonesia Dataset (public snapshot),https://www.jobstreet.co.id/id/job/junior-senior-backend-developer-jakarta-3745827,2026-07-19T00:00:00Z
Junior / Senior Frontend Developer - Tangerang,PT Bhakti Idola Tama,Banten,Requirements : Diploma/Bachelor/Professional Degree in Computer Science / Information 1+ (junior) / 3+ (senior) years working in front-end either...,2022-01-06T09:50:04Z,Jobstreet Indonesia Dataset (public snapshot),https://www.jobstreet.co.id/id/job/junior-senior-frontend-developer-tangerang-3745815,2026-07-19T00:00:00Z
Junior / Senior Frontend Developer - Jakarta,PT Bhakti Idola Tama,Jakarta Barat,Requirements : Diploma/Bachelor/Professional Degree in Computer Science / Information 1+ (junior) / 3+ (senior) years working in front-end either...,2022-01-06T09:48:43Z,Jobstreet Indonesia Dataset (public snapshot),https://www.jobstreet.co.id/id/job/junior-senior-frontend-developer-jakarta-3745810,2026-07-19T00:00:00Z
Frontend Developer (Angular),PT Ako Media Asia,Jakarta Raya,Job Descriptions: Building and maintaining web applications using ANGULAR Framework To develop HTML web pages ensuring strong optimisation and...,2022-01-06T09:00:22Z,Jobstreet Indonesia Dataset (public snapshot),https://www.jobstreet.co.id/id/job/frontend-developer-angular-3745663,2026-07-19T00:00:00Z
Full Stack Engineer Internship,PT Hata Arziki Indonesia (Jakarta),Jakarta Raya,"▪ Internship selama 3 bulan atau 4 bulan, difokuskan utk menjadi Full Stack Engineer▪ Selama Periode Internship dilakukan secara WFH dan WFO.▪...",2022-01-06T08:42:48Z,Jobstreet Indonesia Dataset (public snapshot),https://www.jobstreet.co.id/id/job/full-stack-engineer-internship-3745609,2026-07-19T00:00:00Z
Sales Data Analyst - Mandarin Speaker,PT Carlcare Service Ila,Jakarta Barat,"Sales Analyst Responsibilities:• Compiling, analyzing, and reporting sales data.• Prepares spread sheets for data analysis including the...",2022-01-06T07:41:47Z,Jobstreet Indonesia Dataset (public snapshot),https://www.jobstreet.co.id/id/job/sales-data-analyst-mandarin-speaker-3745422,2026-07-19T00:00:00Z
Fullstack Developer,Alodokter,Jakarta Selatan,What You Will Do: Developing scalable and robust front-end and back-end system for back-end process Developing APIs integration between product and...,2022-01-06T06:08:10Z,Jobstreet Indonesia Dataset (public snapshot),https://www.jobstreet.co.id/id/job/fullstack-developer-3745169,2026-07-19T00:00:00Z
IT Data Analyst Supervisor,PT. Kalbe Farma Tbk. (International Division),Jakarta Raya,"Interpret data, analyze results using statistical techniques and provide ongoing reports. Develop and implement databases, data collection systems,...",2022-01-06T05:58:06Z,Jobstreet Indonesia Dataset (public snapshot),https://www.jobstreet.co.id/id/job/it-data-analyst-supervisor-3745154,2026-07-19T00:00:00Z
"Software Engineer, Full-stack",DOCDOC PTE.LTD,Jakarta Selatan,"Responsibilities: Develop, maintain and optimize secure and scalable applications in an agile environment, and following industry best practices Work...",2022-01-06T05:13:56Z,Jobstreet Indonesia Dataset (public snapshot),https://www.jobstreet.co.id/id/job/software-engineer-full-stack-3745096,2026-07-19T00:00:00Z
